Program,Full name,Microb,Phyto,Zoo,allFish,TBM,BentInv,Macroalg,Seagrass,Mangrove,Coral
AIMS_LTMP,AIMS Long-term Monitoring Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMBON,Arctic Marine Biodiversity Observing Network,NA,1,1,NA,1,1,NA,NA,NA,NA
AMT,Atlantic Meridional Transect,1,1,1,NA,NA,NA,NA,NA,NA,NA
Antares,Antares Marine Monitoring Network,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
AOOS,Alaska Ocean Observing System,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWI_LTO,AWI long-term observations,NA,1,1,NA,1,1,NA,NA,NA,NA
BalearesOMN,Balearic Islands ocean observing and monitoring network,NA,1,NA,1,1,NA,NA,NA,NA,NA
BASEcosystems,BAS Ecosystems,NA,NA,1,NA,1,NA,NA,NA,NA,NA
BioArgo,Biogeochemical Argo,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
BioRaTS,Rothera Biology Monitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CalCOFI,California Cooperative Oceanic Fisheries Investigations,NA,1,1,NA,1,NA,NA,NA,NA,NA
CARIACO,The CARIACO Ocean Time-Series Program,1,1,1,NA,NA,NA,NA,NA,NA,NA
CARICOMP,Caribbean Coastal Marine Productivity,NA,NA,NA,NA,NA,NA,1,1,1,1
CBMP,Circumpolar Biodiversity Monitoring Programme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEMP,CCAMLR Ecosystem Monitoring Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHINAnational,National Basic Research Program of China,NA,1,1,1,NA,1,NA,NA,NA,NA
CLIOTOP,Climate Impacts on Top Predators,NA,1,1,1,1,NA,NA,NA,NA,NA
CORMP,Coastal Ocean Research and monitoring Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPRsurvey,Continuous Plankton Recorder Survey,1,1,1,NA,NA,NA,NA,NA,NA,NA
EC-DCF,European Commission - Data Collection Framework,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
ECIM,Estación Costera de Investigaciones Marinas & marine reserve,NA,NA,NA,1,NA,1,1,1,NA,1
EGO,Glider network,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
EIREmicrocystins,Near-real-time detection of microcystins in western Lake Erie,1,1,NA,NA,NA,NA,NA,NA,NA,NA
EMBOS,European Marine Biodiversity Observatory System,NA,1,1,NA,NA,1,1,1,NA,NA
ESP,"Environmental Sample Processor (specifically networks incorporating ESPs, but not considered sustained operations)",NA,1,NA,NA,NA,NA,NA,NA,NA,NA
FerryBox,North Sea Monitoring,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
