"Program"	"Microb"	"Phyto"	"Zoo"	"allFish"	"TBM"	"BentInv"	"Macroalg"	"Seagrass"	"Mangrove"	"Coral"
"AIMS_LTMP"	NA	NA	NA	1	NA	NA	NA	NA	NA	1
"AMBON"	1	1	1	1	1	1	NA	NA	NA	NA
"AMT"	1	1	1	NA	NA	NA	NA	NA	NA	NA
"Antares "	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
"AOOS"	NA	1	1	1	1	1	NA	NA	NA	NA
"AWI_LTO"	1	1	1	NA	1	1	1	1	NA	1
"BalearesOMN"	NA	1	1	1	1	NA	NA	NA	NA	NA
"BASEcosystems"	NA	NA	1	NA	1	NA	NA	NA	NA	NA
"BioArgo"	1	1	NA	NA	NA	NA	NA	NA	NA	NA
"BioRaTS"	1	1	1	1	1	1	1	1	NA	NA
"CalCOFI"	1	1	1	NA	1	NA	NA	NA	NA	NA
"CARIACO"	1	1	1	NA	NA	NA	NA	NA	NA	NA
"CARICOMP"	NA	NA	NA	NA	NA	1	1	1	1	1
"CBMP"	NA	NA	NA	NA	1	1	NA	NA	NA	NA
"CEMP"	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
"CHINAnational"	1	1	1	1	NA	1	NA	NA	NA	NA
"CLIOTOP"	NA	1	1	1	1	NA	NA	NA	NA	NA
"CORMP"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CPRsurvey"	1	1	1	NA	NA	NA	NA	NA	NA	NA
"EC-DCF"	NA	NA	NA	1	1	NA	NA	NA	NA	NA
"ECIM"	NA	NA	NA	1	1	1	1	1	NA	1
"EGO"	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
"EIREmicrocystins"	1	1	NA	NA	NA	NA	NA	NA	NA	NA
"EMBOS"	NA	1	1	NA	NA	1	1	1	NA	NA
"ESP"	1	1	NA	NA	NA	NA	NA	NA	NA	NA
"FerryBox"	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
"FKNMS MBON"	1	1	1	1	1	1	1	1	NA	1
"GCOOS"	1	1	1	1	1	1	1	1	1	1
"GCRMN"	NA	NA	NA	1	NA	1	NA	NA	NA	1
"HAUSGARTEN"	1	1	1	NA	NA	1	NA	NA	NA	NA
"HELCOM"	NA	1	1	1	1	1	1	1	NA	NA
"HELGOLANDroads"	1	1	1	NA	NA	NA	NA	NA	NA	NA
"HOT"	1	1	1	NA	NA	NA	NA	NA	NA	NA
"HUFO-DAT"	NA	NA	1	1	NA	1	NA	NA	NA	NA
"ICES_survey"	NA	NA	1	1	1	NA	NA	NA	NA	NA
"IEO"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
